anime_id,name,type,episodes,avg_rating,members,studio_id,rating,status,premiered
3371,"""Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari""",OVA,24,8.2,8621,,,,
4059,"""Clannad: Mou Hitotsu no Sekai, Tomoyo-hen""",Special,1,8.14,160423,,,,
6351,"""Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen""",Special,1,8.02,138364,,,,
28907,"""Gate: Jieitai Kanochi nite, Kaku Tatakaeri""",TV,12,7.97,244314,,,,
31637,"""Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season""",TV,12,7.97,153501,,,,
433,"""Kumo no Mukou, Yakusoku no Basho""",Movie,1,7.89,103975,,,,
160,"""Ima, Soko ni Iru Boku""",TV,13,7.81,56839,,,,
31483,"""Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page""",OVA,1,7.77,20749,,,,
15439,"""Kono Danshi, Ningyo Hiroimashita.""",OVA,1,7.75,14775,,,,
7762,"""Yondemasu yo, Azazel-san.""",OVA,4,7.7,18400,,,,
3848,"""One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura""",Movie,1,7.65,29771,,,,
16241,"""Yondemasu yo, Azazel-san. Z""",TV,13,7.65,20640,,,,
10216,"""Yondemasu yo, Azazel-san. (TV)""",TV,13,7.64,42147,,,,
2098,"""Shin Kimagure Orangeâ˜†Road: Soshite, Ano Natsu no Hajimari""",Movie,1,7.63,4199,,,,
901,"""Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen""",Movie,1,7.62,65953,,,,
22539,"""One More Time, One More Chance""",Music,1,7.6,5660,,,,
7877,"""Momoko, Kaeru no Uta ga Kikoeru yo.""",Movie,1,7.56,1113,,,,
19221,"""Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru""",TV,10,7.55,179569,,,,
21737,"""Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode""",Special,1,7.49,2770,,,,
10483,"""Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!""",Special,1,7.47,4955,,,,
