anime_id,genre_id
32281,"7, 26, 28, 39"
5114,"1, 2, 7, 9, 17, 20, 33"
28977,"1, 4, 13, 23, 27, 29, 33"
9253,"29, 40"
9969,"1, 4, 13, 23, 27, 29, 33"
32935,"4, 7, 28, 33, 37"
11061,"1, 2, 33, 38"
820,"7, 20, 29, 36"
15335,"1, 4, 13, 23, 27, 29, 33"
15417,"1, 4, 13, 23, 27, 29, 33"
4181,"7, 9, 26, 35, 39"
28851,"7, 28, 33"
918,"1, 4, 13, 23, 27, 29, 33"
2904,"1, 7, 19, 20, 29, 38"
28891,"4, 7, 28, 33, 37"
199,"2, 7, 39"
23273,"7, 21, 26, 28, 33"
24701,"2, 9, 13, 22, 30, 35, 39"
12355,"9, 35"
1575,"1, 19, 20, 28, 29, 38"
263,"4, 7, 33, 37"
44,"1, 7, 13, 18, 26, 27"
1,"1, 2, 4, 7, 29, 36"
30276,"1, 4, 23, 29, 30, 38, 39"
164,"1, 2, 9"
7311,"4, 22, 26, 28, 29, 39"
17074,"4, 22, 26, 39, 41"
21939,"2, 9, 13, 22, 30, 35, 39"
457,"2, 9, 13, 22, 30, 35, 39"
2001,"1, 2, 4, 19, 29"
245,"4, 7, 28, 33, 35"
32983,"7, 9, 31, 35, 39"
5258,"4, 7, 33, 37"
28957,"2, 9, 13, 22, 30, 35, 39"
11665,"7, 9, 31, 35, 39"
431,"2, 7, 9, 26"
11741,"1, 9, 39, 40"
31757,"1, 22, 39, 41"
19,"7, 14, 22, 24, 25, 30, 40"
12365,"4, 7, 26, 33"
1535,"22, 24, 25, 39, 40"
32366,"4, 23"
30654,"1, 4, 28, 33"
20583,"4, 7, 28, 33, 37"
19647,"4, 7, 33, 37"
4282,"1, 7, 22, 26, 39, 40"
10379,"7, 9, 31, 35, 39"
22135,"25, 30, 37"
21329,"2, 9, 13, 22, 30, 35, 39"
31043,"22, 25, 30, 39"
7785,"22, 25, 26"
3297,"9, 29, 33, 35"
30709,"4, 6, 9, 31, 39"
6114,"7, 13, 30, 40"
31240,"7, 9, 25, 40"
4565,"1, 19, 29, 36, 38"
5300,"7, 9, 31, 35, 39"
9989,"7, 35, 39"
24415,"4, 28, 33, 37"
11577,"29, 40"
10408,"7, 26, 31, 39"
28171,"8, 28, 33"
32995,"4, 37"
21899,"1, 4, 13, 23, 27, 29, 33"
26055,"1, 2, 7, 33, 39"
7472,"1, 4, 13, 23, 27, 29, 33"
777,"1, 14, 20, 30, 39, 41"
22535,"1, 7, 14, 25, 29, 30"
28735,"7, 13, 15"
12431,"4, 29, 30, 35, 36"
28805,"2, 39"
578,"7, 13"
16894,"4, 28, 33, 37"
5028,"4, 7, 26, 37"
21,"1, 2, 4, 7, 9, 33, 38"
801,"1, 19, 20, 22, 24, 29, 30"
31933,"1, 2, 4, 7, 33, 39"
5205,"1, 22, 26, 39, 40"
17389,"1, 13, 20, 30"
170,"4, 7, 28, 33, 37"
10162,"15, 35"
18617,"20, 28"
32182,"1, 4, 35, 39"
877,"4, 7, 21, 26, 31, 35"
2251,"1, 4, 13, 22, 30, 39"
24687,"2, 9, 13, 22, 30, 35, 39"
16498,"1, 7, 9, 33, 38"
10030,"4, 7, 26, 33"
5941,"4, 7, 26, 28, 37"
30346,"26, 28, 34, 35"
3784,"1, 19, 29"
13125,"7, 14, 22, 29, 39"
12029,"1, 7, 20, 29, 36"
14397,"7, 10, 15, 35, 37"
10087,"1, 9, 39"
14719,"1, 2, 33, 39, 41"
9756,"7, 17, 25, 40"
10165,"4, 28, 35"
13601,"1, 24, 25, 29"
22789,"4, 35"
30230,"4, 28, 33, 37"
18115,"1, 2, 9, 17, 33"
11981,"7, 17, 25, 40"
11917,"4, 7, 37"
205,"1, 2, 4, 13, 27, 33"
32282,"8, 28, 33"
6594,"1, 2, 13, 18, 26"
11979,"7, 17, 25, 40"
7655,"4, 7, 37"
2246,"6, 9, 13, 14, 22, 30, 39"
25835,"4, 7"
2921,"7, 37"
136,"1, 2, 33, 38"
30503,"1, 2, 33, 39"
12531,"7, 15, 21, 26, 28"
523,"2, 4, 39"
467,"1, 19, 20, 24, 29, 30"
572,"2, 9"
19815,"2, 4, 8, 9, 10, 39"
2559,"2, 7, 13, 35"
392,"1, 4, 6, 9, 18, 28, 33"
486,"1, 2, 35"
11771,"4, 28, 33, 37"
1698,"4, 7, 15, 21, 26, 35"
5341,"2, 9, 13, 26"
25781,"1, 9, 31, 39"
10863,"29, 40"
28701,"1, 9, 17, 33, 39"
5420,"7, 9"
9260,"22, 39, 41"
32,"5, 7, 19, 25, 29"
4224,"4, 26, 28, 35"
2236,"2, 7, 26, 29"
2685,"1, 2, 7, 9, 26, 33"
31181,"4, 22, 39"
45,"1, 2, 4, 13, 26, 27"
2418,"1, 2, 13, 27"
1365,"2, 22, 24, 33"
22297,"1, 9, 17, 33, 39"
627,"4, 7, 33, 37"
10937,"1, 19, 20, 29, 33, 36"
23755,"1, 2, 8, 9, 33, 39"
4081,"7, 9, 31, 35, 39"
4155,"1, 2, 4, 7, 9, 33"
1889,"22, 25, 39, 40"
137,"1, 2, 33, 38"
139,"1, 2, 33, 38"
23317,"4, 6, 9, 13, 22, 33, 39"
558,"4, 7, 33, 37"
5040,"25, 30, 37"
57,"4, 7, 21, 33, 35"
33,"1, 2, 6, 7, 9, 14, 20, 26, 30, 39"
5,"1, 7, 22, 29, 36"
1842,"7, 33, 37"
6336,"1, 7, 19, 20, 29, 36"
20651,"7, 9, 31, 35, 39"
1210,"4, 7, 25, 26"
338,"2, 7, 13, 26, 31"
13759,"4, 7, 26, 28, 35"
6547,"1, 4, 7, 28, 39"
5081,"22, 26, 39, 41"
32867,"22, 30, 39"
264,"4, 33, 37"
12859,"1, 2, 4, 7, 9, 33"
853,"4, 11, 26, 28, 31"
5460,"1, 22, 24, 33"
6746,"1, 22, 39"
5690,"4, 15, 21, 26"
329,"7, 26, 29, 30, 36"
34240,"21, 29"
513,"2, 9, 26, 29"
6945,"1, 4, 13, 23, 29"
1142,"7, 15, 26"
6811,"1, 2, 4, 6, 9, 17, 26, 33, 39"
16664,"9, 13"
1604,"1, 4, 33, 38"
22145,"4, 6, 9, 13, 33, 39"
2966,"2, 9, 13, 26"
31964,"1, 4, 28, 33, 38"
19363,"4, 28, 33, 35"
18195,"4, 7, 26, 28, 35, 39"
9890,"4, 7, 37"
9130,"1, 2, 18, 33, 38, 39"
9863,"4, 28, 33"
7674,"4, 26, 33"
11843,"4, 28, 33, 35"
16782,"7, 25, 26, 35"
28675,"9, 35, 39"
3226,"4, 7, 33, 37"
21557,"7, 22, 25"
31715,"4, 26, 35"
43,"1, 19, 24, 25, 29, 30"
9617,"4, 21, 35"
31051,"1, 28, 33, 37"
10153,"1, 4, 7, 17, 38"
1033,"1, 2, 7, 9, 13, 26"
32188,"29, 40"
3091,"4, 7, 22, 25, 39"
12115,"1, 2, 6, 7, 9, 14, 20, 30, 39"
28223,"7, 10, 22, 25, 40"
121,"1, 2, 4, 7, 9, 17, 20, 33"
3002,"10, 25, 30, 40"
138,"1, 2, 33, 38"
6675,"1, 3, 29, 37"
10800,"7, 10, 15, 35, 37"
32005,"1, 22, 24, 33"
813,"1, 2, 4, 9, 18, 33, 38"
27821,"1, 9, 17, 33, 39"
28725,"7, 26, 28"
585,"2, 7, 9, 26, 35"
16067,"7, 9, 26"
30,"1, 5, 7, 19, 25, 29"
31490,"1, 2, 4, 7, 9, 33"
759,"4, 7"
6,"1, 4, 29"
6864,"22, 39"
9735,"1, 4, 13, 23, 27, 29, 33"
11977,"7, 17, 25, 40"
11123,"4, 7, 26, 34"
23847,"4, 7, 26, 28"
33161,"4, 26, 28"
962,"9, 29, 33, 35"
1519,"1, 30"
2167,"4, 7, 26, 28, 35, 39"
16706,"4, 11, 26, 33, 39"
5681,"4, 29"
3901,"1, 4, 13, 22, 30, 39"
6467,"1, 22, 24, 33"
10271,"10, 25, 30, 40"
22507,"3, 30, 37"
3701,"2, 22, 26, 29"
19123,"1, 2, 4, 7, 9, 33, 38"
33255,"4, 28, 33, 39"
372,"4, 7, 9, 17, 26, 31"
265,"4, 33, 37"
25681,"4, 6, 9, 26, 31, 39"
4722,"4, 7, 26, 31"
24277,"4, 7, 33, 37"
239,"7, 22, 29, 39, 40"
512,"2, 4, 7, 9, 17, 26"
4477,"4, 15, 21, 26, 35"
15323,"1, 2, 4, 7, 9, 33, 38"
31174,"4, 23"
23327,"4, 29, 36"
5365,7
3702,"4, 21"
3167,"29, 35"
7465,"29, 35"
7054,"4, 26, 28, 31"
1257,"2, 29, 33"
23283,"25, 40"
2025,"1, 22, 29, 38"
235,"2, 4, 22, 24, 33"
1364,"2, 4, 22, 24, 33"
18689,"4, 28, 33, 37"
22043,"1, 2, 4, 9, 17, 33"
31988,"7, 21, 28"
20899,"1, 2, 7, 33, 39"
1453,"4, 7, 26, 35"
23623,"4, 28, 30, 35"
1559,"1, 4, 18, 28, 33"
1382,"2, 7, 19, 29, 33"
23289,"4, 26, 28"
18,"1, 3, 7, 30, 37"
4814,"4, 7, 26, 34"
16662,"7, 13, 26"
12031,"1, 13, 20, 30"
8129,"4, 15, 35"
14513,"1, 2, 9, 17, 33"
2581,"1, 7, 19, 20, 29, 36"
30015,"26, 28, 35"
6171,"1, 2, 18, 33, 38, 39"
1827,"1, 2, 9, 13"
25013,"1, 2, 4, 9, 26, 31"
1367,"2, 4, 22, 24, 33"
27833,"1, 22, 39"
26213,"4, 28, 35"
1974,"7, 31"
8425,"7, 13, 22, 26"
12069,"4, 7, 33, 37"
185,"1, 3, 7, 30, 37"
18679,"1, 4, 28, 38"
2034,"4, 26, 31"
437,"5, 7, 14, 25"
721,"4, 9, 17, 26"
12477,"29, 30"
4938,"1, 2, 7, 9, 17, 22, 26, 33, 39"
2402,"7, 37"
6702,"1, 2, 4, 9, 17, 33"
1566,"19, 20, 22, 24, 29, 30"
31741,"1, 2, 9, 17, 33"
440,"7, 9, 25, 31"
4107,"1, 4, 19"
1506,"2, 4, 22, 24, 33"
2759,"1, 19, 29"
72,"1, 4, 28"
3016,"1, 7, 20, 29, 36"
3783,"1, 7, 22, 39, 40"
3927,"1, 7, 19, 20, 29, 36"
11597,"4, 22, 39"
28025,"4, 22, 39"
