studio_id,name
1,Studio 1
2,Studio 2
3,Studio 3
4,Studio 4
5,Studio 5
6,Studio 6
7,Studio 7
8,Studio 8
9,Studio 9
10,Studio 10
11,Studio 11
12,Studio 12
13,Studio 13
14,Studio 14
15,Studio 15
16,Studio 16
17,Studio 17
18,Studio 18
19,Studio 19
20,Studio 20
21,Studio 21
22,Studio 22
23,Studio 23
24,Studio 24
25,Studio 25
26,Studio 26
27,Studio 27
28,Studio 28
29,Studio 29
30,Studio 30
31,Studio 31
32,Studio 32
33,Studio 33
34,Studio 34
35,Studio 35
36,Studio 36
37,Studio 37
38,Studio 38
39,Studio 39
40,Studio 40
41,Studio 41
42,Studio 42
43,Studio 43
44,Studio 44
45,Studio 45
46,Studio 46
47,Studio 47
48,Studio 48
49,Studio 49
50,Studio 50
51,Studio 51
52,Studio 52
53,Studio 53
54,Studio 54
55,Studio 55
56,Studio 56
57,Studio 57
58,Studio 58
59,Studio 59
60,Studio 60
61,Studio 61
62,Studio 62
63,Studio 63
64,Studio 64
65,Studio 65
66,Studio 66
67,Studio 67
68,Studio 68
69,Studio 69
70,Studio 70
71,Studio 71
72,Studio 72
73,Studio 73
74,Studio 74
75,Studio 75
76,Studio 76
77,Studio 77
78,Studio 78
79,Studio 79
80,Studio 80
81,Studio 81
82,Studio 82
83,Studio 83
84,Studio 84
85,Studio 85
86,Studio 86
87,Studio 87
88,Studio 88
89,Studio 89
90,Studio 90
91,Studio 91
92,Studio 92
93,Studio 93
94,Studio 94
95,Studio 95
96,Studio 96
97,Studio 97
98,Studio 98
99,Studio 99
100,Studio 100
101,Studio 101
102,Studio 102
103,Studio 103
104,Studio 104
105,Studio 105
106,Studio 106
107,Studio 107
108,Studio 108
109,Studio 109
110,Studio 110
111,Studio 111
112,Studio 112
113,Studio 113
114,Studio 114
115,Studio 115
116,Studio 116
117,Studio 117
118,Studio 118
119,Studio 119
120,Studio 120
121,Studio 121
122,Studio 122
123,Studio 123
124,Studio 124
125,Studio 125
126,Studio 126
127,Studio 127
128,Studio 128
129,Studio 129
130,Studio 130
131,Studio 131
132,Studio 132
133,Studio 133
134,Studio 134
135,Studio 135
